dataset,min_task_num,max_task_num,eval_min,eval_max,model,hidden_size,num_epoch,batch_size,lr,wd,early_stop,is_test,log_time,lsd,lmd,krc,hr@1,hr@2,hr@3,hr@4,hr@5,hr@6,hr@7,hr@8,hr@9,hr@10,ed,acc@1,acc@2,acc@3,acc@4,acc@5,acc@6,acc@7,acc@8,acc@9,acc@10
logistics,0,25,1,11,graph2route_logistics,8,60,64,0.001,1e-05,10,False,10:37:37,10.358302688947852,2.1526041262600404,0.4279804122368368,0.33691756272401435,0.4551971326164875,0.516726403823178,0.5636200716845878,0.5881720430107527,0.6078853046594982,0.6168458781362007,0.6223502304147466,0.629668032087387,0.6355620981965068,2.4444444444444446,0.33691756272401435,0.21505376344086022,0.17562724014336917,0.16487455197132617,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516
logistics,0,25,1,25,graph2route_logistics,8,60,64,0.001,1e-05,10,False,10:37:37,11.687772153281085,2.328974044038374,0.4143090155953651,0.32786885245901637,0.44426229508196724,0.5043715846994535,0.5508196721311476,0.579344262295082,0.6019672131147541,0.6143793911007026,0.6238056206088992,0.6331863127764766,0.6413830340879522,3.3442622950819674,0.32786885245901637,0.20655737704918034,0.16065573770491803,0.15081967213114755,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.14754098360655737
