Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
2020,903,104.0802769,30.66813158,1183,104.0792781,30.66658936,195.8858017
2021,903,104.0802769,30.66813158,1743,104.0819461,30.66728632,185.3371688
2022,903,104.0802769,30.66813158,1703,104.0784525,30.66903116,201.2208564
2023,903,104.0802769,30.66813158,1502,104.0811962,30.66967255,192.1580615
2024,904,104.0549769,30.62263487,1883,104.0521159,30.62375978,301.2333071
2025,905,104.1126334,30.62215442,947,104.1130701,30.62038703,200.2972941
2026,905,104.1126334,30.62215442,982,104.11696,30.62233282,415.1675606
2027,905,104.1126334,30.62215442,1045,104.1096745,30.62304108,300.1522734
2028,905,104.1126334,30.62215442,1544,104.1144887,30.62671291,535.5904369
2029,906,104.0579489,30.71528136,1356,104.0558211,30.72479253,1073.645512
2030,907,104.0719292,30.70511218,1393,104.07187,30.70269426,268.0395683
2031,907,104.0719292,30.70511218,1620,104.0637486,30.70517334,783.4679732
2032,909,104.038017,30.67271158,1612,104.0380171,30.67190239,89.68328444
2033,909,104.038017,30.67271158,1778,104.0326736,30.67337488,517.1541842
2034,909,104.038017,30.67271158,1898,104.0380169,30.67482664,234.4148446
2035,910,104.0983198,30.64447256,1071,104.1010221,30.64333997,287.772369
2036,910,104.0983198,30.64447256,1469,104.0987232,30.64521317,90.72935611
2037,910,104.0983198,30.64447256,1517,104.0964616,30.64524213,197.435632
2038,911,104.0470481,30.60795889,925,104.0434786,30.60525631,454.7658268
2039,911,104.0470481,30.60795889,1208,104.0468563,30.60374601,467.2752251
2040,911,104.0470481,30.60795889,1190,104.0514275,30.61130347,560.0473473
2041,953,104.046579,30.61154818,911,104.0470481,30.60795889,400.3333842
2042,912,104.0716051,30.60650411,1221,104.0716805,30.60578435,80.09770767
2043,913,104.0672903,30.69928595,1602,104.0672498,30.69780446,164.2400227
2044,913,104.0672903,30.69928595,1641,104.0642488,30.69975695,295.9341185
2045,914,104.1241629,30.68298904,1873,104.1347948,30.67503343,1347.101366
2046,915,103.9749723,30.66252693,1055,103.975131,30.6588855,403.8751156
2047,915,103.9749723,30.66252693,1020,103.9748388,30.66471229,242.5459691
2048,916,104.0664825,30.65485151,1567,104.063511,30.65498885,285.1267412
2049,916,104.0664825,30.65485151,1571,104.0679573,30.65714859,291.1754312
2050,917,104.1340428,30.62526002,1779,104.1362858,30.62448308,231.5828176
2051,917,104.1340428,30.62526002,1637,104.1352029,30.62718758,240.8326967
2052,918,104.0419633,30.60947907,925,104.0434786,30.60525631,490.0332574
2053,919,104.0684345,30.60474509,1286,104.0696463,30.60460144,117.2556025
2054,919,104.0684345,30.60474509,1238,104.0650829,30.60485238,321.5269798
2055,920,104.0552225,30.6801717,1802,104.0514072,30.67709606,499.7699857
2056,920,104.0552225,30.6801717,1503,104.0535507,30.68136594,207.7638298
2057,922,103.951201,30.67450041,950,103.956184,30.67458422,477.4603998
2058,923,104.0618457,30.66270572,937,104.0617125,30.66071793,220.676996
2059,1070,104.0632366,30.6647108,923,104.0618457,30.66270572,259.1144788
2060,924,104.0724705,30.6485309,973,104.0725542,30.64772127,90.08936031
2061,924,104.0724705,30.6485309,1043,104.0751968,30.64830309,262.4651613
2062,926,104.0717634,30.59121614,1073,104.0750659,30.59133644,316.9223562
2063,927,104.0094376,30.67908282,1549,104.0077715,30.67693868,286.2638424
2064,928,104.0741314,30.69052755,1381,104.0777751,30.69046771,349.0634894
2065,928,104.0741314,30.69052755,1369,104.0742895,30.69705339,723.4211976
2066,930,104.0350085,30.64701254,1699,104.0312907,30.64635526,363.6314208
2067,930,104.0350085,30.64701254,1874,104.0387774,30.64694972,361.2263483
2068,930,104.0350085,30.64701254,1007,104.0349293,30.64918505,240.9005755
2069,931,104.0818673,30.64545371,1831,104.0865447,30.64375218,486.2760089
2070,931,104.0818673,30.64545371,1823,104.0804742,30.64586314,140.9939866
2071,932,104.0578707,30.60543778,1244,104.0578993,30.60270356,303.0450021
2072,933,104.1244253,30.60617433,1351,104.1220034,30.60393124,340.1581551
2073,933,104.1244253,30.60617433,1167,104.1224601,30.60779753,260.4852653
2074,933,104.1244253,30.60617433,954,104.1276807,30.60790258,366.1673566
2075,934,104.0219287,30.73010679,1548,104.0269243,30.73325654,592.1419628
2076,935,104.0801761,30.68922895,1115,104.0818796,30.69184404,332.603298
2077,937,104.0617125,30.66071793,1418,104.0602277,30.66075741,142.3240728
2078,937,104.0617125,30.66071793,1573,104.0649632,30.6607499,311.4766587
2079,938,104.109586,30.63629375,1147,104.1134892,30.63265318,550.2045592
2080,938,104.109586,30.63629375,1727,104.1070034,30.63859978,355.772862
2081,938,104.109586,30.63629375,1129,104.1152974,30.64211152,845.7654619
2082,940,104.0946732,30.59714389,1066,104.0927252,30.59715528,186.763222
2083,941,104.0068158,30.72585148,1150,104.0096791,30.72093684,609.8074011
2084,942,104.0886043,30.70813837,1217,104.0866428,30.70587452,313.4265779
2085,942,104.0886043,30.70813837,1293,104.0898329,30.70899025,150.8525007
2086,944,104.0381346,30.66861573,1543,104.0385394,30.66145875,794.1630163
2087,944,104.0381346,30.66861573,1862,104.0349573,30.67009888,345.9457422
2088,944,104.0381346,30.66861573,1612,104.0380171,30.67190239,364.4378115
2089,945,104.0707136,30.67059491,1345,104.0694782,30.66964496,158.4023268
2090,945,104.0707136,30.67059491,1550,104.0723581,30.66972895,184.4806029
2091,945,104.0707136,30.67059491,1359,104.0682796,30.6717139,264.1038789
2092,945,104.0707136,30.67059491,1195,104.0715214,30.67202107,175.9906607
2093,946,104.0481868,30.59674836,1214,104.0451326,30.59689568,293.2852593
2094,947,104.1130701,30.62038703,1306,104.1153558,30.62095961,228.0938735
2095,948,104.0133461,30.69733246,1039,104.0115999,30.69535576,275.6198388
2096,948,104.0133461,30.69733246,1396,104.0147331,30.69819801,163.8579231
2097,948,104.0133461,30.69733246,1388,104.0114888,30.69862622,228.4788358
2098,949,104.1014792,30.70351697,1089,104.1024344,30.70177664,213.4734975
2099,949,104.1014792,30.70351697,1417,104.1031337,30.70349434,158.4659146
2100,965,104.0225494,30.63101898,951,104.0160584,30.63558542,801.9624447
2101,951,104.0160584,30.63558542,1555,104.0146463,30.63701254,208.1659213
2102,951,104.0160584,30.63558542,1844,104.0180527,30.63718421,260.6296374
2103,952,104.085206,30.6563458,1735,104.0827149,30.65151133,586.5620605
2104,952,104.085206,30.6563458,1577,104.0863404,30.65755893,172.8914334
2105,1190,104.0514275,30.61130347,953,104.046579,30.61154818,465.5672047
2106,954,104.1276807,30.60790258,1185,104.1258146,30.60938695,243.0296828
2107,954,104.1276807,30.60790258,1233,104.1304402,30.61020532,367.5642411
